,rating,difficulty,stream_total,breakdown,stream_count,stream_size_max,stream_size_avg,stream_size_std,break_count,break_size_max,break_size_avg,break_total,break_size_std,measure_count,jumps,hands,quads,mines,holds,rolls,step_count,song_nps,nps_per_measure_max,nps_per_measure_avg,nps_per_measure_median,nps_per_measure_std,nps_per_measure_mode,crossovers,footswitches,crossover_footswitches,jacks,invalid_crossovers,title,artist,song_seconds,bpm_change_count,stop_count,bpm_max,bpm_min,bpm_weighted_avg,bpm_mode
13,17,Challenge,160,(24)-8-(6)-32-(8)-24-(3)-32-(8)-24-(2)-32-(8)-8-(7),7,32,22.857142857142858,10.761483346152788,8,24,8.25,66,6.777062153217383,226,1,0,0,0,30,0,2678,9.627765486725687,13.0,9.627765486725664,13.0,5.4082331101430885,13.0,0,0,0,0,0,Zusammenbruch of Gott,Hommarju,278.15384615384545,0,0,195.0,195.0,195.0,195.0
14,18,Challenge,160,(8)-7-(1)-15-(9)-23-(1)-16-(16)-32-(4)-15-(1)-28-(4)-24-(11),8,32,20.0,8.176621726430962,9,16,6.111111111111111,55,5.254627590144816,215,0,0,0,0,28,0,2791,11.466899224806248,14.133333333333333,11.466899224806202,14.133333333333333,4.766056231491478,14.133333333333333,0,0,0,0,0,APHONIA,4nzu,243.39622641509334,0,0,212.0,212.0,212.0,212.0
15,18,Challenge,105,(40)-6-(2)-32-(48)-6-(2)-23-(1)-15-(1)-23-(10),6,32,17.5,10.406728592598157,7,48,14.857142857142858,104,20.284875904875296,209,2,1,0,0,22,0,2129,9.337719298245597,14.666666666666668,9.337719298245615,14.666666666666668,5.874938684704109,14.666666666666668,1,1,1,1,0,Energy Bomb,DJ Myosuke feat. C-Show,228.00000000000043,0,0,220.0,220.0,220.0,220.0
16,19,Challenge,1091,(24)-3-(1)-1-(1)-7-(1)-11-(1)-31-(1)-47-(1)-13-(1)-63-(1)-72-(29)-2-(3)-35-(1)-33-(1)-17-(17)-42-(1)-123-(26)-49-(1)-16-(2)-41-(1)-98-(2)-75-(15)-33-(1)-64-(1)-44-(40)-48-(7)-1-(3)-38-(2)-83-(3)-1-(5),28,123,38.964285714285715,31.616313349934867,29,40,6.655172413793103,193,10.437829078025228,1284,6,0,0,1,78,0,18118,11.265631551591763,13.866666666666667,11.327572591275985,12.666666666666668,3.77694564167059,12.666666666666668,0,14,0,0,13,Re THE MEDLEY OF KIRBY SSDX,hapinano,1608.2542658196592,46,1,210.0,121.199997,282.30021638017456,190.0
17,19,Challenge,162,(1)-3-(5)-3-(9)-23-(1)-19-(1)-23-(1)-26-(30)-65-(1),7,65,23.142857142857142,20.772004970059836,8,30,6.125,49,10.077379194441948,211,7,0,0,0,53,0,2859,12.420616113744053,14.666666666666668,12.420616113744076,14.666666666666668,4.172129458893966,14.666666666666668,1,6,1,0,6,The Master Storyteller,Theocracy,230.1818181818186,0,0,220.0,220.0,220.0,220.0
18,20,Challenge,237,(4)-128-(55)-109-(1),2,128,118.5,13.435028842544403,3,55,20.0,60,30.347981810987037,297,8,0,0,0,31,0,4098,12.79700534419755,14.933333333333334,12.844570707070707,14.933333333333334,4.317053438725439,14.933333333333334,1,4,1,0,1,Astral Empire,Dragonforce,320.231170479125,5,0,224.0,216.0,218.46144831833692,216.0
19,17,Hard,83,(12)-2-(3)-1-(2)-1-(4)-1-(2)-2-(20)-2-(2)-2-(1)-3-(1)-5-(15)-8-(12)-1-(5)-3-(1)-3-(7)-1-(8)-2-(55)-3-(3)-2-(3)-1-(8)-5-(3)-6-(1)-2-(2)-1-(1)-3-(3)-2-(4)-4-(6)-4-(1)-3-(1)-3-(7)-1-(6)-2-(14)-4-(1),31,8,2.6774193548387095,1.661065858100225,32,55,6.6875,214,10.04325323208924,297,12,0,0,0,121,0,3156,9.855380396849066,14.933333333333334,9.884301346801347,10.266666666666667,4.103844176488401,14.933333333333334,3,12,3,0,4,Astral Empire,Dragonforce,320.231170479125,5,0,224.0,216.0,218.46144831833692,216.0
20,20,Challenge,73,(37)-31-(1)-30-(2)-12-(21),3,31,24.333333333333332,10.692676621563626,4,37,15.25,61,17.173137938847013,134,2,0,0,0,4,0,1464,10.811567164179088,15.833333333333332,10.811567164179104,15.833333333333332,5.765906981624612,15.833333333333332,0,2,0,0,2,Cerenkov Radiation,wa.,135.41052631578967,0,0,237.5,237.5,237.5,237.5
21,19,Hard,58,(37)-16-(12)-3-(1)-16-(3)-11-(2)-12-(21),5,16,11.6,5.319774431308154,6,37,12.666666666666666,76,14.179797835888447,134,4,0,0,0,16,0,1325,9.785059079601975,15.833333333333332,9.78505907960199,7.421875,5.643333528592452,15.833333333333332,0,2,0,0,2,Cerenkov Radiation,wa.,135.41052631578967,0,0,237.5,237.5,237.5,237.5
22,20,Challenge,128,(4)-3-(18)-9-(4)-32-(2)-9-(3)-36-(16)-20-(4)-19-(3),7,36,18.285714285714285,12.324964985944662,8,18,6.75,54,6.386369413502032,182,0,0,0,0,19,0,2270,12.056776556776551,15.466666666666665,12.056776556776555,15.466666666666665,5.5866136033589235,15.466666666666665,1,3,0,0,1,charlotte aux framboises,kamome sano feat. mami,188.2758620689656,0,0,232.0,232.0,232.0,232.0
23,20,Challenge,157,(30)-3-(1)-2-(1)-33-(8)-8-(8)-8-(4)-40-(8)-16-(8)-6-(1)-41-(1),9,41,17.444444444444443,16.06324306538931,10,30,7.0,70,8.73053390247253,227,16,0,0,0,29,0,2759,11.749045521292196,15.466666666666665,11.749045521292215,15.466666666666665,5.80484682198668,15.466666666666665,0,0,0,0,0,Endless Adventure,Kobaryo,234.827586206897,0,0,232.0,232.0,232.0,232.0
24,19,Hard,113,(30)-3-(1)-2-(1)-17-(4)-12-(24)-8-(4)-16-(2)-14-(40)-6-(1)-17-(6)-18-(1),10,18,11.3,6.09280085200741,11,40,10.363636363636363,114,14.037611814498414,227,17,0,0,0,43,0,2368,10.083994126284857,15.466666666666665,10.083994126284875,10.633333333333333,5.922634889587874,15.466666666666665,0,0,0,0,0,Endless Adventure,Kobaryo,234.827586206897,0,0,232.0,232.0,232.0,232.0
25,20,Challenge,321,(15)-96-(1)-12-(2)-1-(1)-64-(15)-17-(12)-3-(1)-128-(1),7,128,45.857142857142854,50.693288745252296,8,15,6.0,48,6.697547525560595,369,0,0,0,0,7,0,5324,12.925248419150963,14.333333333333334,12.925248419150858,14.333333333333334,3.8943186423261853,14.333333333333334,0,0,0,0,0,Flamethrower Jambon Beurre,Pattern J & Mutante,411.9069767441827,0,0,215.0,215.0,215.0,215.0
