,rating,difficulty,stream_total,breakdown,stream_count,stream_size_max,stream_size_avg,stream_size_std,break_count,break_size_max,break_size_avg,break_total,break_size_std,measure_count,jumps,hands,quads,mines,holds,rolls,step_count,song_nps,nps_per_measure_max,nps_per_measure_avg,nps_per_measure_median,nps_per_measure_std,nps_per_measure_mode,crossovers,footswitches,crossover_footswitches,jacks,invalid_crossovers,title,artist,song_seconds,bpm_change_count,stop_count,bpm_max,bpm_min,bpm_weighted_avg,bpm_mode
14,12,Challenge,29,(4)-2-(2)-5-(2)-1-(2)-1-(4)-1-(2)-1-(5)-5-(3)-13-(3),8.0,13.0,3.625,4.172614801981401,9.0,5.0,3.0,27.0,1.118033988749895,56,15,0,0,0,76,7,779,6.375744047619043,11.458333333333334,6.375744047619048,6.416666666666667,3.0842391285346418,0.0,6,37,2,0,21,Poochie,kors k,122.18181818181827,0,0,110.0,110.0,110.0,110.0
15,14,Challenge,6,(73)-1-(27)-1-(3)-2-(2)-1-(8)-1-(2),5.0,2.0,1.2,0.4472135954999579,6.0,73.0,19.166666666666668,115.0,28.052926169415315,121,64,0,0,0,42,1,967,7.791942148760351,15.600000000000001,7.791942148760331,8.775,4.145175678419273,9.75,17,40,8,0,12,Rebellio,MAX MAXIMIZER VS DJ TOTTO,124.10256410256378,0,0,234.0,234.0,234.0,234.0
16,12,Challenge,5,(16)-1-(12)-2-(17)-1-(14)-1-(2),4.0,2.0,1.25,0.5,5.0,17.0,12.2,61.0,6.016643582596529,66,45,0,0,1,13,0,713,6.526830808080797,9.666666666666666,6.526830808080808,6.645833333333333,1.8905083894302996,7.25,29,16,3,2,6,Recursive Function,OSTER Project,109.24137931034501,0,0,145.0,145.0,145.0,145.0
17,14,Challenge,14,(9)-2-(3)-1-(3)-1-(3)-1-(14)-1-(2)-1-(3)-1-(3)-1-(3)-1-(2)-1-(6)-1-(3)-2-(1),12.0,2.0,1.1666666666666667,0.3892494720807615,13.0,14.0,4.230769230769231,55.0,3.5626265159721267,69,42,0,0,0,53,4,720,6.956521739130435,15.333333333333334,6.956521739130435,7.333333333333333,3.367430045213424,6.666666666666667,20,9,0,1,7,REVOLVER,sky_delta,103.5,0,0,160.0,160.0,160.0,160.0
18,12,Challenge,14,(8)-1-(2)-2-(10)-1-(3)-2-(7)-2-(2)-1-(3)-1-(4)-2-(6)-2-(1),9.0,2.0,1.5555555555555556,0.5270462766947299,10.0,10.0,4.6,46.0,2.988868236194653,60,21,0,0,10,11,3,659,7.013150099858462,17.8125,7.223424451013968,7.277777777777778,3.3567928870931523,7.5,16,38,6,1,7,SCHWARZSCHILD FIELD,L.E.D.,93.9663333333333,28,32,300.0,75.0,133.00492610837438,150.0
19,11,Challenge,12,(6)-1-(16)-1-(8)-1-(1)-1-(7)-1-(5)-1-(2)-1-(2)-1-(10)-1-(1)-1-(2)-2-(3),11.0,2.0,1.0909090909090908,0.30151134457776363,12.0,16.0,5.25,63.0,4.494946657586211,75,1,0,0,23,25,8,744,6.200000000000009,11.875,6.2,6.875,2.5743996938672487,6.875,25,54,13,7,15,Serotonin,U1 overground,119.99999999999983,0,0,150.0,150.0,150.0,150.0
20,11,Challenge,14,(11)-1-(2)-1-(3)-1-(2)-2-(2)-3-(5)-1-(6)-4-(5)-1-(3),8.0,4.0,1.75,1.164964745021435,9.0,11.0,4.333333333333333,39.0,2.9154759474226504,53,41,0,0,14,69,4,639,5.5259433962264115,11.0,5.525943396226415,5.041666666666667,2.504619482278277,4.583333333333334,13,29,5,2,2,Stardust Distancia,ARM feat. Hiroshi transparency + Brasscapsule,115.63636363636371,0,0,110.0,110.0,110.0,110.0
21,12,Challenge,12,(15)-1-(15)-1-(1)-7-(7)-1-(15)-1-(15)-1-(2),6.0,7.0,2.0,2.449489742783178,7.0,15.0,10.0,70.0,6.506407098647712,82,51,0,0,31,42,5,707,6.358689024390256,11.8,6.3586890243902445,6.6375,2.946903250767528,6.6375,6,17,6,2,4,STARLIGHT DANCEHALL,P*Light,111.18644067796589,15,0,265.5,88.5,176.99999999999997,177.0
22,10,Hard,5,(15)-1-(15)-1-(15)-1-(15)-1-(15)-1-(2),5.0,1.0,1.0,0.0,6.0,15.0,12.833333333333334,77.0,5.307227776030219,82,45,0,0,20,51,5,633,5.69314024390245,11.8,5.693140243902439,5.9,2.4481357486195647,6.6375,8,18,6,2,6,STARLIGHT DANCEHALL,P*Light,111.18644067796589,15,0,265.5,88.5,176.99999999999997,177.0
23,13,Challenge,10,(6)-1-(3)-1-(7)-1-(3)-1-(13)-1-(1)-2-(11)-1-(27)-1-(4)-1-(3),9.0,2.0,1.1111111111111112,0.33333333333333337,10.0,27.0,7.8,78.0,7.7430972843917925,88,35,1,0,8,45,6,869,4.604647954943692,13.73076923076923,5.561134776856121,4.25,3.4905081989827993,3.5416666666666665,3,6,2,3,5,Sunny Theme Park of Nostalgia,PHQUASE,188.72235369633736,37,28,510.0,85.0,209.24037877531424,170.0
24,10,Challenge,0,(76),,,,,,,,,,76,23,0,0,0,1,0,716,5.8881578947368505,8.125,5.8881578947368425,6.25,1.525010785121483,6.875,18,24,6,1,6,SURVIVOR,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,121.59999999999982,0,0,150.0,150.0,150.0,150.0
25,11,Challenge,5,(14)-1-(19)-2-(2)-1-(1)-1-(12),4.0,2.0,1.25,0.5,5.0,19.0,9.6,48.0,7.829431652425353,53,50,0,0,8,44,0,487,5.244347288790481,12.0,5.323136900146463,6.141666666666667,2.771928734105416,0.0,10,26,3,0,5,SWEET HOME PARTY,Gekidan Record,92.8618897991247,25,0,180.0,25.0,90.4155435291999,134.0
26,12,Challenge,25,(14)-1-(7)-3-(9)-4-(4)-1-(2)-16-(8),5.0,16.0,5.0,6.284902544988268,6.0,14.0,7.333333333333333,44.0,4.179314138308661,69,34,0,2,6,16,2,769,6.501207729468608,10.5,6.501207729468599,6.416666666666667,2.7200723252479704,9.333333333333334,46,30,5,5,5,Taiyo SUNSUN bonjour aventure,Project B-,118.28571428571412,0,0,140.0,140.0,140.0,140.0
27,13,Challenge,19,(23)-1-(1)-1-(1)-1-(4)-1-(1)-1-(3)-1-(4)-1-(6)-8-(8)-1-(8)-1-(3)-1-(5)-1-(7),12.0,8.0,1.5833333333333333,2.0207259421636903,13.0,23.0,5.6923076923076925,74.0,5.764613536983137,93,41,0,0,0,66,0,888,7.638709677419355,12.8,7.638709677419355,7.2,3.133029935675705,6.4,16,12,4,2,7,The Happy Everyday Life of Pochiko,NU-KO,116.25,0,0,192.0,192.0,192.0,192.0
28,11,Challenge,7,(5)-1-(23)-1-(2)-1-(1)-1-(24)-1-(1)-2-(4),6.0,2.0,1.1666666666666667,0.408248290463863,7.0,24.0,8.571428571428571,60.0,10.309496315810694,67,76,0,0,0,43,1,654,5.368656716417917,12.65,5.36865671641791,5.5,2.6482675271811926,7.15,27,21,2,1,6,Towards the TOWER,SHAMDEL,121.81818181818167,2,0,132.0,36.75,125.91152756591849,132.0
29,12,Challenge,24,(8)-2-(7)-1-(1)-1-(8)-2-(1)-3-(1)-2-(7)-1-(1)-3-(2)-2-(3)-2-(2)-1-(5)-2-(1)-1-(1)-1-(5),14.0,3.0,1.7142857142857142,0.7262730392025629,15.0,8.0,3.533333333333333,53.0,2.8250579429371676,77,18,0,0,7,44,4,916,7.286363636363642,11.025,7.286363636363636,7.35,1.8010997894494973,7.35,15,42,7,1,14,Transport,Sota Fujimori,125.71428571428561,0,0,147.0,147.0,147.0,147.0
